Bstar,0.06471208,0.06471208,0.06471208,0.06471208,0.01220326,0.01220326,0.01220326,0.01220326,4.621447e-05,4.621447e-05,4.621447e-05,4.621447e-05,0.02094112,0.02094112,0.02094112,0.02094112,0.04432177,0.04432177,0.04432177,0.04432177,0.05271569,0.05271569,0.05271569,0.05271569,0.02869003,0.02869003,0.02869003,0.02869003,0.02869003,0.02869003,0.02869003,0.02869003,0.01381971,0.01381971,0.01381971,0.01381971,0.01381971,0.01381971,0.01381971,0.01381971,0.03703489,0.03703489,0.03703489,0.03703489,0.03703489,0.03703489,0.03703489,0.03703489,0.04752014,0.04752014,0.04752014,0.04752014,0.04752014,0.04752014,0.04752014,0.04752014,0.01429616,0.01429616,0.01429616,0.01429616,0.01429616,0.01429616,0.01429616,0.01429616,0.04292376,0.04292376,0.04292376,0.04292376,0.04292376,0.04292376,0.04292376,0.04292376,0.0474441,0.0474441,0.0474441,0.0474441,0.0474441,0.0474441,0.0474441,0.0474441,0.06350023,0.06350023,0.06350023,0.06350023,0.06350023,0.06350023,0.06350023,0.06350023
rho,0.1808996,0.1808996,0.1808996,0.1808996,0.9839154,0.9839154,0.9839154,0.9839154,1.094098,1.094098,1.094098,1.094098,0.9613249,0.9613249,0.9613249,0.9613249,0.8376466,0.8376466,0.8376466,0.8376466,0.5907798,0.5907798,0.5907798,0.5907798,0.9078002,0.9078002,0.9078002,0.9078002,0.9078002,0.9078002,0.9078002,0.9078002,0.980079,0.980079,0.980079,0.980079,0.980079,0.980079,0.980079,0.980079,0.8836278,0.8836278,0.8836278,0.8836278,0.8836278,0.8836278,0.8836278,0.8836278,0.5764256,0.5764256,0.5764256,0.5764256,0.5764256,0.5764256,0.5764256,0.5764256,0.9768801,0.9768801,0.9768801,0.9768801,0.9768801,0.9768801,0.9768801,0.9768801,0.7708588,0.7708588,0.7708588,0.7708588,0.7708588,0.7708588,0.7708588,0.7708588,0.712283,0.712283,0.712283,0.712283,0.712283,0.712283,0.712283,0.712283,0.3985649,0.3985649,0.3985649,0.3985649,0.3985649,0.3985649,0.3985649,0.3985649
theta,0,3.141593,1.570796,-1.570796,0,3.141593,1.570796,-1.570796,0.7853982,2.356194,-2.356194,-0.7853982,0.7853982,2.356194,-2.356194,-0.7853982,0.7853982,2.356194,-2.356194,-0.7853982,0.7853982,2.356194,-2.356194,-0.7853982,0.1478744,2.993718,-2.993718,-0.1478744,1.422922,1.718671,-1.718671,-1.422922,0.2895758,2.852017,-2.852017,-0.2895758,1.281221,1.860372,-1.860372,-1.281221,0.4619849,2.679608,-2.679608,-0.4619849,1.108811,2.032781,-2.032781,-1.108811,0.189977,2.951616,-2.951616,-0.189977,1.380819,1.760773,-1.760773,-1.380819,0.551968,2.589625,-2.589625,-0.551968,1.018828,2.122764,-2.122764,-1.018828,0.1672238,2.974369,-2.974369,-0.1672238,1.403573,1.73802,-1.73802,-1.403573,0.5086976,2.632895,-2.632895,-0.5086976,1.062099,2.079494,-2.079494,-1.062099,0.4316896,2.709903,-2.709903,-0.4316896,1.139107,2.002486,-2.002486,-1.139107
THETAplate,0.48,0.4799996,0.4800002,0.4799998,0.48,0.4799979,0.480001,0.4799989,4.834756e-34,0.96,4.834756e-34,0.96,5.777327e-30,0.96,5.777327e-30,0.96,3.629073e-26,0.96,3.629073e-26,0.96,1.383218e-18,0.96,1.383218e-18,0.96,1.491106e-06,0.9599985,1.491088e-06,0.9599985,1.491099e-06,0.9599985,1.491103e-06,0.9599985,6.733217e-13,0.96,6.733243e-13,0.96,6.733217e-13,0.96,6.733243e-13,0.96,7.539345e-18,0.96,7.539259e-18,0.96,7.539316e-18,0.96,7.539259e-18,0.96,1.798726e-05,0.959982,1.798716e-05,0.959982,1.798721e-05,0.959982,1.798728e-05,0.959982,5.44427e-23,0.96,5.44427e-23,0.96,5.44427e-23,0.96,5.44427e-23,0.96,2.57047e-06,0.9599975,2.570456e-06,0.9599975,2.57047e-06,0.9599975,2.570473e-06,0.9599975,8.244113e-16,0.96,8.244082e-16,0.96,8.244113e-16,0.96,8.244082e-16,0.96,5.494059e-08,0.96,5.494039e-08,0.96,5.494059e-08,0.96,5.494039e-08,0.96
THETAZernike,0.01142307,-0.02403244,0.004139193,-0.009511672,0.01442677,-0.005899955,-0.03101253,-0.06037705,-0.00977999,-0.004925696,0.04968093,-0.09840358,0.005355137,0.01628759,0.00242324,-0.02773865,0.01609147,0.02183267,-0.02566054,0.01054204,0.02623359,0.01117445,-0.04702858,0.03347205,0.02429471,-0.01615309,-0.02196126,0.01904953,-0.008521789,0.002326509,-0.03428867,-0.03828871,0.02218806,-0.001573661,0.001050681,-7.428089e-05,-0.03063915,-0.01065319,-0.03400819,-0.0648516,0.02312397,0.001971794,-0.02200099,0.01367029,9.748281e-05,0.02178985,-0.02184555,-0.0192865,0.03155158,-0.03513935,-0.05356706,0.03634628,0.02939149,0.03087427,-0.01585107,0.007150753,0.01762347,0.009658808,0.008624833,-0.01652283,-0.01447702,0.008483995,-0.007625004,-0.05154853,0.02999993,-0.02865566,-0.04395,0.03213797,0.01892065,0.02729648,-0.01984991,-0.007159153,0.02664731,-0.003219874,-0.04924366,0.03489101,0.02174194,0.03083559,-0.03116636,0.01782793,0.02481943,-0.0209105,-0.04796304,0.02851403,0.02302778,0.01266261,-0.02806365,0.0134624
