Bstar,0.06471208,0.06471208,0.06471208,0.06471208,0.01220326,0.01220326,0.01220326,0.01220326,4.621447e-05,4.621447e-05,4.621447e-05,4.621447e-05,0.02094112,0.02094112,0.02094112,0.02094112,0.04432177,0.04432177,0.04432177,0.04432177,0.05271569,0.05271569,0.05271569,0.05271569,0.02869003,0.02869003,0.02869003,0.02869003,0.02869003,0.02869003,0.02869003,0.02869003,0.01381971,0.01381971,0.01381971,0.01381971,0.01381971,0.01381971,0.01381971,0.01381971,0.03703489,0.03703489,0.03703489,0.03703489,0.03703489,0.03703489,0.03703489,0.03703489,0.04752014,0.04752014,0.04752014,0.04752014,0.04752014,0.04752014,0.04752014,0.04752014,0.01429616,0.01429616,0.01429616,0.01429616,0.01429616,0.01429616,0.01429616,0.01429616,0.04292376,0.04292376,0.04292376,0.04292376,0.04292376,0.04292376,0.04292376,0.04292376,0.0474441,0.0474441,0.0474441,0.0474441,0.0474441,0.0474441,0.0474441,0.0474441,0.06350023,0.06350023,0.06350023,0.06350023,0.06350023,0.06350023,0.06350023,0.06350023
rho,0.1808996,0.1808996,0.1808996,0.1808996,0.9839154,0.9839154,0.9839154,0.9839154,1.094098,1.094098,1.094098,1.094098,0.9613249,0.9613249,0.9613249,0.9613249,0.8376466,0.8376466,0.8376466,0.8376466,0.5907798,0.5907798,0.5907798,0.5907798,0.9078002,0.9078002,0.9078002,0.9078002,0.9078002,0.9078002,0.9078002,0.9078002,0.980079,0.980079,0.980079,0.980079,0.980079,0.980079,0.980079,0.980079,0.8836278,0.8836278,0.8836278,0.8836278,0.8836278,0.8836278,0.8836278,0.8836278,0.5764256,0.5764256,0.5764256,0.5764256,0.5764256,0.5764256,0.5764256,0.5764256,0.9768801,0.9768801,0.9768801,0.9768801,0.9768801,0.9768801,0.9768801,0.9768801,0.7708588,0.7708588,0.7708588,0.7708588,0.7708588,0.7708588,0.7708588,0.7708588,0.712283,0.712283,0.712283,0.712283,0.712283,0.712283,0.712283,0.712283,0.3985649,0.3985649,0.3985649,0.3985649,0.3985649,0.3985649,0.3985649,0.3985649
theta,0,3.141593,1.570796,-1.570796,0,3.141593,1.570796,-1.570796,0.7853982,2.356194,-2.356194,-0.7853982,0.7853982,2.356194,-2.356194,-0.7853982,0.7853982,2.356194,-2.356194,-0.7853982,0.7853982,2.356194,-2.356194,-0.7853982,0.1478744,2.993718,-2.993718,-0.1478744,1.422922,1.718671,-1.718671,-1.422922,0.2895758,2.852017,-2.852017,-0.2895758,1.281221,1.860372,-1.860372,-1.281221,0.4619849,2.679608,-2.679608,-0.4619849,1.108811,2.032781,-2.032781,-1.108811,0.189977,2.951616,-2.951616,-0.189977,1.380819,1.760773,-1.760773,-1.380819,0.551968,2.589625,-2.589625,-0.551968,1.018828,2.122764,-2.122764,-1.018828,0.1672238,2.974369,-2.974369,-0.1672238,1.403573,1.73802,-1.73802,-1.403573,0.5086976,2.632895,-2.632895,-0.5086976,1.062099,2.079494,-2.079494,-1.062099,0.4316896,2.709903,-2.709903,-0.4316896,1.139107,2.002486,-2.002486,-1.139107
THETAplate,0.48,0.4799996,0.4800002,0.4799998,0.48,0.4799979,0.480001,0.4799989,4.834756e-34,0.96,4.834756e-34,0.96,5.777327e-30,0.96,5.777327e-30,0.96,3.629073e-26,0.96,3.629073e-26,0.96,1.383218e-18,0.96,1.383218e-18,0.96,1.491106e-06,0.9599985,1.491088e-06,0.9599985,1.491099e-06,0.9599985,1.491103e-06,0.9599985,6.733217e-13,0.96,6.733243e-13,0.96,6.733217e-13,0.96,6.733243e-13,0.96,7.539345e-18,0.96,7.539259e-18,0.96,7.539316e-18,0.96,7.539259e-18,0.96,1.798726e-05,0.959982,1.798716e-05,0.959982,1.798721e-05,0.959982,1.798728e-05,0.959982,5.44427e-23,0.96,5.44427e-23,0.96,5.44427e-23,0.96,5.44427e-23,0.96,2.57047e-06,0.9599975,2.570456e-06,0.9599975,2.57047e-06,0.9599975,2.570473e-06,0.9599975,8.244113e-16,0.96,8.244082e-16,0.96,8.244113e-16,0.96,8.244082e-16,0.96,5.494059e-08,0.96,5.494039e-08,0.96,5.494059e-08,0.96,5.494039e-08,0.96
THETAZernike,0.009025834,-0.01519525,0.008821345,-0.008100074,-0.01810185,-0.001150299,-0.03085818,-0.07208812,-0.05431041,0.01679321,0.02525044,-0.1198641,-0.01859956,0.03660311,-0.0009759329,-0.04930305,0.004019873,0.04084067,-0.01776473,-0.009741174,0.02443874,0.02704259,-0.03244201,0.01849957,-0.003395025,-0.001165085,-0.01456208,-0.006085513,-0.008439204,0.008694017,-0.03880623,-0.05087374,-0.01373024,0.01449408,-0.003173854,-0.02604983,-0.03862822,-0.00249046,-0.03955784,-0.08293798,-0.0002865548,0.02277461,-0.01678234,-0.008170629,-0.006292716,0.03525462,-0.01910444,-0.03771332,0.02145659,-0.01598329,-0.03480821,0.02262763,0.03541788,0.04052651,-0.01257928,0.001175234,-0.01522362,0.03107459,0.002061985,-0.03896524,-0.03150567,0.02400258,-0.01145518,-0.07259648,0.01194322,-0.009378277,-0.02805657,0.01268052,0.02313731,0.0362668,-0.01950923,-0.01648469,0.01622756,0.01662801,-0.03373908,0.01644747,0.02183664,0.04475164,-0.02167391,0.002569367,0.02109786,-0.006287965,-0.03327267,0.01864926,0.02644539,0.02272038,-0.02083156,0.007058255
