Bstar,0.06471208,0.06471208,0.06471208,0.06471208,0.01220326,0.01220326,0.01220326,0.01220326,4.621447e-05,4.621447e-05,4.621447e-05,4.621447e-05,0.02094112,0.02094112,0.02094112,0.02094112,0.04432177,0.04432177,0.04432177,0.04432177,0.05271569,0.05271569,0.05271569,0.05271569,0.02869003,0.02869003,0.02869003,0.02869003,0.02869003,0.02869003,0.02869003,0.02869003,0.01381971,0.01381971,0.01381971,0.01381971,0.01381971,0.01381971,0.01381971,0.01381971,0.03703489,0.03703489,0.03703489,0.03703489,0.03703489,0.03703489,0.03703489,0.03703489,0.04752014,0.04752014,0.04752014,0.04752014,0.04752014,0.04752014,0.04752014,0.04752014,0.01429616,0.01429616,0.01429616,0.01429616,0.01429616,0.01429616,0.01429616,0.01429616,0.04292376,0.04292376,0.04292376,0.04292376,0.04292376,0.04292376,0.04292376,0.04292376,0.0474441,0.0474441,0.0474441,0.0474441,0.0474441,0.0474441,0.0474441,0.0474441,0.06350023,0.06350023,0.06350023,0.06350023,0.06350023,0.06350023,0.06350023,0.06350023
rho,0.1808996,0.1808996,0.1808996,0.1808996,0.9839154,0.9839154,0.9839154,0.9839154,1.094098,1.094098,1.094098,1.094098,0.9613249,0.9613249,0.9613249,0.9613249,0.8376466,0.8376466,0.8376466,0.8376466,0.5907798,0.5907798,0.5907798,0.5907798,0.9078002,0.9078002,0.9078002,0.9078002,0.9078002,0.9078002,0.9078002,0.9078002,0.980079,0.980079,0.980079,0.980079,0.980079,0.980079,0.980079,0.980079,0.8836278,0.8836278,0.8836278,0.8836278,0.8836278,0.8836278,0.8836278,0.8836278,0.5764256,0.5764256,0.5764256,0.5764256,0.5764256,0.5764256,0.5764256,0.5764256,0.9768801,0.9768801,0.9768801,0.9768801,0.9768801,0.9768801,0.9768801,0.9768801,0.7708588,0.7708588,0.7708588,0.7708588,0.7708588,0.7708588,0.7708588,0.7708588,0.712283,0.712283,0.712283,0.712283,0.712283,0.712283,0.712283,0.712283,0.3985649,0.3985649,0.3985649,0.3985649,0.3985649,0.3985649,0.3985649,0.3985649
theta,0,3.141593,1.570796,-1.570796,0,3.141593,1.570796,-1.570796,0.7853982,2.356194,-2.356194,-0.7853982,0.7853982,2.356194,-2.356194,-0.7853982,0.7853982,2.356194,-2.356194,-0.7853982,0.7853982,2.356194,-2.356194,-0.7853982,0.1478744,2.993718,-2.993718,-0.1478744,1.422922,1.718671,-1.718671,-1.422922,0.2895758,2.852017,-2.852017,-0.2895758,1.281221,1.860372,-1.860372,-1.281221,0.4619849,2.679608,-2.679608,-0.4619849,1.108811,2.032781,-2.032781,-1.108811,0.189977,2.951616,-2.951616,-0.189977,1.380819,1.760773,-1.760773,-1.380819,0.551968,2.589625,-2.589625,-0.551968,1.018828,2.122764,-2.122764,-1.018828,0.1672238,2.974369,-2.974369,-0.1672238,1.403573,1.73802,-1.73802,-1.403573,0.5086976,2.632895,-2.632895,-0.5086976,1.062099,2.079494,-2.079494,-1.062099,0.4316896,2.709903,-2.709903,-0.4316896,1.139107,2.002486,-2.002486,-1.139107
THETAplate,0.48,0.4799996,0.4800002,0.4799998,0.48,0.4799979,0.480001,0.4799989,4.834756e-34,0.96,4.834756e-34,0.96,5.777327e-30,0.96,5.777327e-30,0.96,3.629073e-26,0.96,3.629073e-26,0.96,1.383218e-18,0.96,1.383218e-18,0.96,1.491106e-06,0.9599985,1.491088e-06,0.9599985,1.491099e-06,0.9599985,1.491103e-06,0.9599985,6.733217e-13,0.96,6.733243e-13,0.96,6.733217e-13,0.96,6.733243e-13,0.96,7.539345e-18,0.96,7.539259e-18,0.96,7.539316e-18,0.96,7.539259e-18,0.96,1.798726e-05,0.959982,1.798716e-05,0.959982,1.798721e-05,0.959982,1.798728e-05,0.959982,5.44427e-23,0.96,5.44427e-23,0.96,5.44427e-23,0.96,5.44427e-23,0.96,2.57047e-06,0.9599975,2.570456e-06,0.9599975,2.57047e-06,0.9599975,2.570473e-06,0.9599975,8.244113e-16,0.96,8.244082e-16,0.96,8.244113e-16,0.96,8.244082e-16,0.96,5.494059e-08,0.96,5.494039e-08,0.96,5.494059e-08,0.96,5.494039e-08,0.96
THETAZernike,0.009678321,-0.02576475,0.003952948,-0.01492675,0.04385953,0.005268529,0.01254145,-0.03508731,0.01852623,0.02831511,0.05757382,-0.06470379,0.01928347,0.02768573,-0.001919233,-0.02067632,0.02201573,0.02202058,-0.03589426,0.003585345,0.02607608,0.00535004,-0.05884787,0.01884541,0.03969662,-0.007567938,-0.02252392,0.03933739,0.02044758,0.02480636,-0.02369555,-0.03345808,0.0389975,0.0168814,-0.002175412,0.03056629,0.01139601,0.01862328,-0.01028034,-0.05152482,0.02929066,0.008917448,-0.03242739,0.02353722,0.01935126,0.02935366,-0.02014541,-0.02552587,0.03103139,-0.03912722,-0.05992087,0.03298585,0.02917388,0.02769954,-0.03060104,-0.01039516,0.02780744,0.0256953,-0.0006205603,0.003482365,0.0137062,0.02514965,0.002470769,-0.04564414,0.03542715,-0.0286356,-0.04929434,0.03788198,0.02910461,0.03248866,-0.02708512,-0.01892013,0.02757722,-0.006155894,-0.06045085,0.0290848,0.02601803,0.02679551,-0.04230987,0.0005580162,0.02401091,-0.02415105,-0.05396727,0.02152285,0.02233904,0.009343472,-0.03871407,0.000293082
